strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
BH_A25_F80_M150_W35_X150S40D20,-0.25,80,150,0.35,150,40,-0.2,0.30587349962394694,-0.6992207245312605,0.43744913286000875,1434.7082690299146,1210,-0.4299927502165267,-0.5032083001753734,-0.3880668758880331,-0.5643134086518345,0.6475388370201063,-0.6992207245312605,-0.3805816582481738,-0.5975215764474808,695.5871617779853,-0.6992207245312605,0.4938665829906148,-0.6992207245312605,0.7877991827203736,0.777063801935606,33,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942414,0.5850484205507684,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.2785473155198226
BH_A30_F80_M150_W35_X150S40D20,-0.3,80,150,0.35,150,40,-0.2,0.30587349962394694,-0.6992207245312605,0.43744913286000875,1434.7082690299146,1210,-0.4299927502165267,-0.5032083001753734,-0.3880668758880331,-0.5643134086518345,0.6475388370201063,-0.6992207245312605,-0.3805816582481738,-0.5975215764474808,695.5871617779853,-0.6992207245312605,0.4938665829906148,-0.6992207245312605,0.7877991827203736,0.777063801935606,33,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942414,0.5850484205507684,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.2785473155198226
BH_A25_F40_M150_W35_X150S40D20,-0.25,40,150,0.35,150,40,-0.2,0.31133368246020243,-0.6992207245312605,0.44525808737850625,1607.383236463726,1206,-0.39776906514054844,-0.5625581873833869,-0.40995903851640825,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.4074829785828571,-0.615001202525655,665.3344018629014,-0.6992207245312605,0.4898052371712318,-0.6992207245312605,0.7975773496789259,0.7853389394645178,71,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942413,0.5850484205507683,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.2739983734975113
BH_A20_F40_M150_W35_X150S40D20,-0.2,40,150,0.35,150,40,-0.2,0.30844341527322117,-0.6992207245312605,0.44112453257159057,1513.6285427666637,1206,-0.39776906514054844,-0.5625581873833869,-0.4367350567287992,-0.5701923742244421,0.6475388370201063,-0.6992207245312605,-0.4155193407535349,-0.6202229761793119,656.2968478575417,-0.6992207245312605,0.4885583646910594,-0.6992207245312605,0.8126094570928196,0.7910977089160252,79,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942413,0.5850484205507683,2023-02-03,2023-02-07,1.0,1.0,0,1.2628693666590478
BH_A25_F60_M100_W35_X150S40D20,-0.25,60,100,0.35,150,40,-0.2,0.3052319026688386,-0.6992207245312605,0.43653154427517604,1415.6324731757722,1913,-0.6273478508141199,-0.6572665126933177,-0.2513416520734072,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.34743273577549716,-0.5759824563408098,732.8658670806641,-0.6992207245312605,0.4986493075387475,-0.6992207245312605,0.7967016929363689,0.7857135290349403,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0,1.2611947288918137
BH_A30_F60_M100_W35_X150S40D20,-0.3,60,100,0.35,150,40,-0.2,0.3052319026688386,-0.6992207245312605,0.43653154427517604,1415.6324731757722,1913,-0.6273478508141199,-0.6572665126933177,-0.2513416520734072,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.34743273577549716,-0.5759824563408098,732.8658670806641,-0.6992207245312605,0.4986493075387475,-0.6992207245312605,0.7967016929363689,0.7857135290349403,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0,1.2611947288918137
BH_A20_F80_M150_W35_X150S40D20,-0.2,80,150,0.35,150,40,-0.2,0.29939140480864457,-0.6992207245312605,0.4281786770684591,1252.8580052812229,1210,-0.4299927502165267,-0.5032083001753734,-0.4656298219018348,-0.5922409511236886,0.6475388370201061,-0.6992207245312605,-0.380581658248174,-0.5975215764474809,695.5871617779852,-0.6992207245312605,0.4938665829906148,-0.6992207245312605,0.7987448920023351,0.7804363242415279,35,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942415,0.5850484205507686,2023-02-03,2023-02-07,1.0,1.0000000000000002,0,1.2563082768267302
BH_A30_F80_M100_W35_X150S40D20,-0.3,80,100,0.35,150,40,-0.2,0.302598943932622,-0.6992207245312605,0.4327659826379953,1339.8773916209939,1949,-0.5857261091945211,-0.614641169328755,-0.250390065389383,-0.5643134086518345,0.6475388370201063,-0.6992207245312605,-0.35024898915476355,-0.5778123686052836,729.698757203416,-0.6992207245312605,0.498251950046636,-0.6992207245312605,0.7877991827203736,0.7816177509885361,37,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0000000000000002,0,1.25412952716726
BH_A25_F80_M100_W35_X150S40D20,-0.25,80,100,0.35,150,40,-0.2,0.302598943932622,-0.6992207245312605,0.4327659826379953,1339.8773916209939,1949,-0.5857261091945211,-0.614641169328755,-0.250390065389383,-0.5643134086518345,0.6475388370201063,-0.6992207245312605,-0.35024898915476355,-0.5778123686052836,729.698757203416,-0.6992207245312605,0.498251950046636,-0.6992207245312605,0.7877991827203736,0.7816177509885361,37,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0000000000000002,0,1.25412952716726
BH_A30_F40_M100_W35_X150S40D20,-0.3,40,100,0.35,150,40,-0.2,0.3049376975541245,-0.6992207245312605,0.43611078284120774,1406.9671676368864,1962,-0.5999618314726627,-0.6498244686533226,-0.27720767331043894,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.36262412985974446,-0.5858533431558512,715.7818878451308,-0.6992207245312605,0.4964865028889478,-0.6992207245312605,0.7972854640980735,0.7845802263458916,69,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0,0,1.249701792464093
