strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A20_F40_M100_W35_X120S40D20,-0.2,40,100,0.35,120,40,-0.2,0.2461862936347594,-0.8756885939548237,0.2811345212604882,401.2033792697089,2021,-0.3452618741915444,-0.5062965988810026,-0.7957633526982603,-0.8756885939548237,0.6475388370201061,-0.6992207245312605,-0.3898299084212331,-0.6035307965486245,396.1184078141617,-0.7159546045272234,0.4432713860564905,-0.7159546045272234,0.8206363105662581,0.8001244061506269,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968975,0.6184786476793963,2023-02-03,2023-02-16,1.0,1.0000000000000002,0
BH_A20_F40_M100_W35_X150S10D10,-0.2,40,100,0.35,150,10,-0.1,0.1187267609137046,-0.7025510662475063,0.16899378083340288,21.23643683813385,3501,-0.5295449656612383,-0.5881846918988749,0.3909594521723543,-0.16819527136318269,-0.1658544638521423,-0.7025510662475063,-0.20489335730844505,-0.4833648819607468,7.874236256693363,-0.7025510662475063,0.14322814516307258,-0.7025510662475063,0.3415061295971979,0.32493852158923203,87,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.170459161312256,0.30951491416109994,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X150S10D15,-0.2,40,100,0.35,150,10,-0.15,0.1136270240835835,-0.7025510662475064,0.16173489663960325,18.751534162376906,3083,-0.5295449656612383,-0.5881846918988749,0.39095945217235495,-0.16819527136318269,-0.16585446385214242,-0.7025510662475064,-0.3217696323195821,-0.5593073843802507,8.508163673687365,-0.7025510662475064,0.14807483417867617,-0.7025510662475064,0.38076474022183304,0.3641971322138672,87,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.170459161312256,0.30951491416109994,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X150S10D20,-0.2,40,100,0.35,150,10,-0.2,0.2070222645923372,-0.7190996624052183,0.2878909216837854,168.1335983610025,1266,-0.5295449656612383,-0.5881846918988749,-0.5416698091503742,-0.7184293480930086,-0.1658544638521423,-0.7025510662475063,-0.3868975560348562,-0.6016254468257998,113.86188654206443,-0.7190996624052183,0.3375680900239604,-0.7190996624052183,0.7962638645650905,0.7761682810864678,86,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1704591613122535,0.30951491416109966,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X150S20D10,-0.2,40,100,0.35,150,20,-0.1,0.05473686914527942,-0.6992207245312605,0.07828267559142159,4.269427359073178,3521,-0.5507286857850817,-0.6067279736001538,0.3909594521723545,-0.16819527136318269,-0.47622674446242086,-0.6992207245312605,0.08798392453459614,-0.21258772317158459,0.9846684423890413,-0.6992207245312605,0.042922867529104014,-0.6992207245312605,0.24387040280210157,0.22785108773072696,87,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.161909687989307,0.11343100763742694,2023-02-03,2023-02-16,0.0,1.0000000000000002,1
BH_A20_F40_M100_W35_X150S20D15,-0.2,40,100,0.35,150,20,-0.15,0.060661407631792175,-0.6992207245312605,0.08675573463938446,4.973094462408994,3083,-0.5507286857850817,-0.6067279736001538,0.3909594521723556,-0.1681952713631828,-0.47622674446242075,-0.6992207245312605,0.08798392453459591,-0.21258772317158514,1.6405596496156707,-0.6992207245312605,0.06134239824501875,-0.6992207245312605,0.28079392877991827,0.26477461370854366,87,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.161909687989306,0.11343100763742685,2023-02-03,2023-02-16,0.0,1.0,1
BH_A20_F40_M100_W35_X150S20D20,-0.2,40,100,0.35,150,20,-0.2,0.20125710185521295,-0.7474258152150941,0.2692669931360281,147.57775147024196,2010,-0.5507286857850817,-0.6067279736001538,-0.588869175348597,-0.7474258152150941,-0.47622674446242086,-0.6992207245312605,0.1040957749249043,-0.21258772317158547,116.692878022655,-0.7159546045272234,0.33956638035581,-0.7159546045272234,0.7367192060712201,0.7171719155291885,85,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968973,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0000000000000002,0
BH_A20_F40_M100_W35_X150S40D10,-0.2,40,100,0.35,150,40,-0.1,0.12170963081895003,-0.6992207245312605,0.1740646787901503,22.833829915961367,3292,-0.5999618314726627,-0.6498244686533226,0.3909594521723585,-0.16819527136318269,0.6475388370201063,-0.6992207245312605,-0.35293996968710617,-0.5795608825408002,13.063643812476956,-0.6992207245312605,0.17596259744652398,-0.6992207245312605,0.3563922942206655,0.34037297914929093,87,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.4952237916500306,0.1459706749014369,2023-02-03,2023-02-16,0.0,1.0,1
BH_A20_F40_M100_W35_X150S40D15,-0.2,40,100,0.35,150,40,-0.15,0.2289255432408337,-0.6992207245312605,0.3274009696927955,274.398052954065,3292,-0.5999618314726627,-0.6498244686533226,0.3909594521723556,-0.16819527136318269,0.6475388370201061,-0.6992207245312605,-0.35293996968710617,-0.5795608825408003,167.2675174107629,-0.6992207245312605,0.3692511487914889,-0.6992207245312605,0.5583771161704612,0.5423578010990866,86,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968972,0.6184786476793961,2023-02-03,2023-02-16,1.0,1.0,0
BH_A20_F40_M100_W35_X150S40D20,-0.2,40,100,0.35,150,40,-0.2,0.28938320639795934,-0.6992207245312605,0.41386531640914154,1014.942773089282,1962,-0.5999618314726627,-0.6498244686533226,-0.4579570547928803,-0.6670012395198535,0.6475388370201063,-0.6992207245312605,-0.3868975560348554,-0.6016254468257993,688.4844122842236,-0.6992207245312605,0.49292814903981497,-0.6992207245312605,0.8126094570928196,0.7958064782558874,82,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968974,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0,0
