strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,MDD_floor,Actual_floor
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.75,0.18
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.75,0.2
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.75,0.22
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.75,0.24
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.75,0.26
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.7,0.18
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.7,0.2
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.7,0.22
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.7,0.24
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,-0.7,0.26
