date,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after
2000-07-25,REVERSAL_ENTRY,0.35,76.859472,0.375414361869989,0.0001877071809349945,0.697010393434759,0.0048844254598833185,76.89790173599998
2000-09-20,BULL_FULL,1.0,68.319943,0.7033710882536423,0.00035168554412682115,0.0,0.015179678315314452,71.10327507795638
2000-09-27,BULL_EXIT,0.0,55.985959,-0.849848847794384,0.000424924423897192,0.8494239233704868,0.0,
2001-07-05,REVERSAL_ENTRY,0.35,2.34637,0.30847307443186595,0.00015423653721593299,0.5727243302648208,0.13146821448955875,2.3475431849999997
2001-07-06,BULL_EXIT,0.0,2.053945,-0.27002848180975675,0.00013501424090487838,0.8426987065076001,0.0,
2001-12-05,REVERSAL_ENTRY,0.35,1.664486,0.29814123340467497,0.00014907061670233748,0.5535417914205512,0.1791190994725549,1.6653182429999998
2001-12-21,BULL_EXIT,0.0,1.273499,-0.22810799405919915,0.00011405399702959957,0.781976529112885,0.0,
2001-12-24,REVERSAL_ENTRY,0.35,1.257756,0.27370981409245726,0.00013685490704622863,0.5081813712646602,0.2176175777276811,1.258384878
2001-12-26,BULL_EXIT,0.0,1.293003,-0.2813801808546248,0.0001406900904273124,0.7894549424473702,0.0,
2001-12-27,REVERSAL_ENTRY,0.35,1.324014,0.2763279794118809,0.00013816398970594045,0.5130423692037873,0.20870472624298603,1.324676007
2002-01-02,BULL_EXIT,0.0,1.323952,-0.27631503971885385,0.00013815751985942694,0.7893220703315946,0.0,
2002-01-03,REVERSAL_ENTRY,0.35,1.461326,0.2762813613876859,0.00013814068069384295,0.5129558161821514,0.18906209934517412,1.4620566629999998
2002-01-23,BULL_EXIT,0.0,1.137651,-0.21508668638213668,0.00010754334319106835,0.7283638091006145,0.0,
2002-11-05,REVERSAL_ENTRY,0.35,0.221058,0.2583146295030174,0.0001291573147515087,0.4795980117622809,1.1685378023098798,0.221168529
2002-11-06,BULL_EXIT,0.0,0.230423,-0.2692579860216494,0.00013462899301082472,0.7487479179662075,0.0,
2002-11-07,REVERSAL_ENTRY,0.35,0.206098,0.2620743232152537,0.00013103716160762686,0.4865784202381493,1.271600516333267,0.206201049
2002-11-08,BULL_EXIT,0.0,0.194686,-0.24756281812285844,0.00012378140906142923,0.7340405308105854,0.0,
2002-11-11,REVERSAL_ENTRY,0.35,0.176948,0.2569263892078018,0.0001284631946039009,0.477020545334171,1.4519880937213294,0.17703647400000003
2002-11-12,BULL_EXIT,0.0,0.190458,-0.27654274835397696,0.0001382713741769885,0.7534476807903798,0.0,
2002-11-13,REVERSAL_ENTRY,0.35,0.197302,0.26371914109306704,0.00013185957054653353,0.4896322596022923,1.3366268010109732,0.19740065099999998
2002-11-14,BULL_EXIT,0.0,0.217681,-0.29095825867086966,0.00014547912933543484,0.780468102378346,0.0,
2002-11-15,REVERSAL_ENTRY,0.35,0.226152,0.27317674607544923,0.0001365883730377246,0.5071916543385109,1.2079342480961885,0.22626507599999998
2002-11-20,BULL_EXIT,0.0,0.23236,-0.2806756018876304,0.0001403378009438152,0.7877991564140214,0.0,
2002-11-21,REVERSAL_ENTRY,0.35,0.25813,0.2757427909640088,0.0001378713954820044,0.5119558832519628,1.0682322510518294,0.25825906500000007
2002-12-02,BULL_FULL,1.0,0.26357,0.5118464131351389,0.00025592320656756944,0.0,3.010207487744696,0.26177032709847153
2002-12-10,BULL_EXIT,0.0,0.198506,-0.5975442475622486,0.0002987721237811243,0.5972454754384674,0.0,
2002-12-11,REVERSAL_ENTRY,0.35,0.201266,0.2090458041343736,0.0001045229020671868,0.3881233990617695,1.0386543387078473,0.20136663300000002
2002-12-12,BULL_FULL,1.0,0.204519,0.3879476300829823,0.00019397381504149115,0.0,2.9355325264702667,0.2034697028728407
2002-12-16,BULL_EXIT,0.0,0.202956,-0.5957839394422995,0.00029789196972114973,0.5954860474725783,0.0,
2002-12-17,REVERSAL_ENTRY,0.35,0.204807,0.2084300579243208,0.00010421502896216039,0.38698017825906217,1.0176901078787386,0.20490940349999998
2002-12-18,BULL_FULL,1.0,0.191741,0.3868050804959834,0.0001934025402479917,0.0,3.0350211977133768,0.1962202954095333
2002-12-31,BULL_EXIT,0.0,0.168945,-0.5127516562476865,0.00025637582812384325,0.5124952804195626,0.0,
2003-01-07,REVERSAL_ENTRY,0.35,0.219181,0.1794071325145454,8.97035662572727e-05,0.33309497110361275,0.8185341453618034,0.21929059049999997
