campaign_full_date,age_td,policy,budget_pct,initial_total_tqqq_target,post_add_total_tqqq_target_if_triggered,CAGR,MDD,Return,cash_CAGR,CAGR_increment_vs_cash,outperformed_cash,tactical_CAGR,tactical_MDD,max_tactical_tqqq_weight,max_total_tqqq_weight_approx,trade_events
1988-04-08,505,I25_N3_K2,0.1,0.025,,0.07946976271755668,0.0,0.03514929277694212,0.07865165271718277,0.0008181100003739061,True,0.08684805885590463,0.0,0.2500312539067383,0.0250003125039063,2
1988-04-08,505,I25_N3_K2,0.2,0.05,,0.08028821278797293,0.0,0.03550377715316477,0.07865165271718277,0.0016365600707901606,True,0.08684805885590463,0.0,0.2500312539067383,0.05000125003125077,2
1988-04-08,505,I25_N3_K2,0.3,0.075,,0.08110700295330231,0.0,0.035858261529387425,0.07865165271718277,0.0024553502361195356,True,0.08684805885590463,0.0,0.2500312539067383,0.07500281260547269,2
1988-04-08,505,I25_N3_K2,0.4,0.1,,0.0819261332384087,0.0,0.03621274590561008,0.07865165271718277,0.00327448052122592,True,0.08684805885590463,0.0,0.2500312539067383,0.10000500025001251,2
1988-04-08,505,I50_N3_K2,0.1,0.05,,0.08028821278797338,0.0,0.035503777153164995,0.07865165271718277,0.0016365600707906047,True,0.09507849435288951,0.0,0.5001250312578145,0.05000125003125079,2
1988-04-08,505,I50_N3_K2,0.2,0.1,,0.08192613323841025,0.0,0.036212745905610744,0.07865165271718277,0.003274480521227474,True,0.09507849435288951,0.0,0.5001250312578145,0.1000050002500125,2
1988-04-08,505,I50_N3_K2,0.3,0.15,,0.08356541426737718,0.0,0.03692171465805627,0.07865165271718277,0.0049137615501944065,True,0.09507849435288951,0.0,0.5001250312578145,0.15001125084381328,2
1988-04-08,505,I50_N3_K2,0.4,0.2,,0.08520605607365317,0.0,0.03763068341050202,0.07865165271718277,0.006554403356470395,True,0.09507849435288951,0.0,0.5001250312578145,0.20002000200020006,2
1988-04-08,505,L25_50_PB5_N3_K2,0.1,0.025,0.05,0.07946976271755668,0.0,0.03514929277694212,0.07865165271718277,0.0008181100003739061,True,0.08684805885590463,0.0,0.2500312539067383,0.0250003125039063,2
1988-04-08,505,L25_50_PB5_N3_K2,0.2,0.05,0.1,0.08028821278797293,0.0,0.03550377715316477,0.07865165271718277,0.0016365600707901606,True,0.08684805885590463,0.0,0.2500312539067383,0.05000125003125077,2
1988-04-08,505,L25_50_PB5_N3_K2,0.3,0.075,0.15,0.08110700295330231,0.0,0.035858261529387425,0.07865165271718277,0.0024553502361195356,True,0.08684805885590463,0.0,0.2500312539067383,0.07500281260547269,2
