age_td,policy,budget_pct,campaigns,initial_total_tqqq_target,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,CAGR_Increment_Median,CAGR_Increment_Min,WinRate_vs_cash,Max_Total_TQQQ_Weight_Worst
756,I50_N3_K2,0.4,2,0.2,0.04826666320009243,0.022180879684392085,-0.13008918525955304,-0.20272404779397424,0.02340950646797857,-0.022650497923993873,0.5,0.544478737663364
756,L25_50_PB5_N3_K2,0.1,2,0.025,0.033303291132566026,0.02647035562557387,-0.044683578963490456,-0.07887506441508263,0.008446134400452165,-0.004695150968827777,0.5,0.21192980520001334
756,L25_50_PB5_N3_K2,0.2,2,0.05,0.040585366575113135,0.03541618076377895,-0.07993845198681016,-0.13492065215504878,0.015728209842999274,-0.00941519684460701,0.5,0.36241873020949716
756,L25_50_PB5_N3_K2,0.3,2,0.075,0.046941064255256015,0.03067085925943247,-0.10843745980044311,-0.17677507253250657,0.022083907523142154,-0.014160518348953488,0.5,0.4748027194491542
756,L25_50_PB5_N3_K2,0.4,2,0.1,0.05253990566784783,0.0258998717022616,-0.13224048749864303,-0.2092225865908699,0.02768274893573397,-0.018931505906124357,0.5,0.5619280705566978
879,HOLD100,0.1,2,0.1,0.06662550395478273,0.054929250474993196,-0.22227433646903483,-0.3335469236748282,0.04159134316282953,0.010060568372885381,1.0,0.6141356856594286
879,HOLD100,0.2,2,0.2,0.09858846990216874,0.06492567074936284,-0.3154406787542152,-0.4264791719649551,0.07355430911021554,0.020056988647255025,1.0,0.7817101607696785
879,HOLD100,0.3,2,0.3,0.12515299503025967,0.07485934664251803,-0.3748162054598844,-0.4698543030306147,0.10011883423830648,0.029990664540410217,1.0,0.8599237513682219
879,HOLD100,0.4,2,0.4,0.14821958934917034,0.08473163005616491,-0.41842807026275447,-0.49496818424662736,0.12318542855721715,0.03986294795405709,1.0,0.905208843897309
879,I25_N3_K2,0.1,2,0.025,0.030069701717625574,0.014818769769867401,-0.018465075790863705,-0.03693015158172741,0.005035540925672377,0.0004519515632759319,1.0,0.09930283318582214
879,I25_N3_K2,0.2,2,0.05,0.03487992282236996,0.02398739185786347,-0.034337995895240836,-0.06867599179048167,0.00984576203041676,0.0009037716847686283,1.0,0.18454410835459933
879,I25_N3_K2,0.3,2,0.075,0.03948674103121819,0.03274933946267833,-0.048111880874772694,-0.09622376174954539,0.01445258023926499,0.0013554604976502294,1.0,0.2585130763808152
879,I25_N3_K2,0.4,2,0.1,0.04390894548347468,0.041142190729980266,-0.0601772727313345,-0.120354545462669,0.018874784691521485,0.0018070181348612824,1.0,0.3233070387079287
879,I50_N3_K2,0.1,2,0.05,0.03487992282236996,0.02398739185786347,-0.034337995895240836,-0.06867599179048167,0.00984576203041676,0.0009037716847686283,1.0,0.1845441083545993
879,I50_N3_K2,0.2,2,0.1,0.04390894548347479,0.041142190729980266,-0.0601772727313345,-0.120354545462669,0.018874784691521596,0.0018070181348615044,1.0,0.32330703870792854
879,I50_N3_K2,0.3,2,0.15,0.05226235283590397,0.04757842251499178,-0.08031377878057433,-0.16062755756114866,0.027228192043950772,0.0027097404128839653,1.0,0.4314447626927954
879,I50_N3_K2,0.4,2,0.2,0.06004681945364532,0.04848062167987299,-0.09644780215694104,-0.19289560431388209,0.03501265866169212,0.0036119395777651775,1.0,0.5180882232004239
879,L25_50_PB5_N3_K2,0.1,2,0.025,0.036938780248095715,0.028556926830807683,-0.03977363924496663,-0.07954727848993326,0.011904619456142518,0.0004519515632759319,1.0,0.2137347782153725
879,L25_50_PB5_N3_K2,0.2,2,0.05,0.04761180099352258,0.045772453786876444,-0.06800464071577123,-0.13600928143154245,0.022577640201569382,0.0009037716847686283,1.0,0.3653418264987804
879,L25_50_PB5_N3_K2,0.3,2,0.075,0.05730649927017728,0.046224142599758045,-0.08907086376994178,-0.17814172753988355,0.03227233847822408,0.0013554604976502294,1.0,0.47847234717923104
879,L25_50_PB5_N3_K2,0.4,2,0.1,0.06620374859202038,0.0466757002369691,-0.10539270664216682,-0.21078541328433364,0.04116958780006719,0.0018070181348612824,1.0,0.5661244420920755
1009,HOLD100,0.1,2,0.1,0.05181709994793049,0.021552204047484924,-0.20204337072439738,-0.3272610903709544,0.027910508679633406,-0.02064517535226784,0.5,0.6028011356414549
1009,HOLD100,0.2,2,0.2,0.07014212988997559,0.000837382840992662,-0.2873950950022716,-0.42191630127587254,0.04623553862167851,-0.041359996558760104,0.5,0.7734824392328886
1009,HOLD100,0.3,2,0.3,0.08295572771157195,-0.019949012277236,-0.3441158049968012,-0.4666211649812847,0.05904913644327486,-0.062146391676988766,0.5,0.8540937900626048
1009,HOLD100,0.4,2,0.4,0.09214269199709596,-0.040809011948954255,-0.38835071772241453,-0.49266000606344995,0.06823610072879888,-0.08300639134870702,0.5,0.9010467607171047
1009,I25_N3_K2,0.1,2,0.025,0.026110974829865574,0.01546272233281587,-0.024410741689302295,-0.03537519659469346,0.0022043835615684904,-0.005438152072837488,0.5,0.09512759809822711
1009,I25_N3_K2,0.2,2,0.05,0.028100216487820795,0.02488410697129151,-0.04964775870503574,-0.0660492969815486,0.004193625219523711,-0.010881053395402684,0.5,0.17749112712870319
1009,I25_N3_K2,0.3,2,0.075,0.029893652611014954,0.02586864199858674,-0.07272874184703376,-0.09286636108744373,0.00598706134271787,-0.016328737401166027,0.5,0.2494980649081905
1009,I25_N3_K2,0.4,2,0.1,0.031508022451330775,0.020416141432069823,-0.09396796179339095,-0.11651084599947592,0.007601431183033691,-0.021781237967682943,0.5,0.3129862583646274
1009,I50_N3_K2,0.1,2,0.05,0.028100216487820684,0.02488410697129151,-0.049647758705035794,-0.0660492969815486,0.0041936252195236,-0.010881053395402907,0.5,0.17749112712870316
1009,I50_N3_K2,0.2,2,0.1,0.031508022451330775,0.020416141432069823,-0.09396796179339117,-0.11651084599947592,0.007601431183033691,-0.021781237967682943,0.5,0.31298625836462735
1009,I50_N3_K2,0.3,2,0.15,0.03425614375521013,0.009496552833659688,-0.13196224948802154,-0.15629582518266605,0.01034955248691305,-0.03270082656609308,0.5,0.41981355718039914
1009,I50_N3_K2,0.4,2,0.2,0.036441491381849433,-0.0014427200295837883,-0.16523581111527874,-0.18846846793640615,0.01253490011355235,-0.043640099429336554,0.5,0.5062008468487335
1009,L25_50_PB5_N3_K2,0.1,2,0.025,0.029490378595424582,0.024437166424370327,-0.051938726721591943,-0.06500606382464769,0.0055837873271274985,-0.007653788633273928,0.5,0.17468992470319378
1009,L25_50_PB5_N3_K2,0.2,2,0.05,0.03432713560274103,0.026880371028876304,-0.09827106375767541,-0.11494001891887273,0.010420544334443949,-0.015317008370876461,0.5,0.30876840485878954
1009,L25_50_PB5_N3_K2,0.3,2,0.075,0.03853524663219099,0.019207626271948275,-0.13795427176818448,-0.15447430571388376,0.014628655363893905,-0.02298975312780449,0.5,0.4149225654396634
1009,L25_50_PB5_N3_K2,0.4,2,0.1,0.04220617396793258,0.011525260811580562,-0.17260221629020456,-0.18655139657237385,0.018299582699635497,-0.030672118588172204,0.5,0.5010532871500428
