policy,budget_pct,n,campaigns,initial_total_tqqq_target,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,CAGR_Increment_Median,CAGR_Increment_Min,WinRate_vs_cash,Max_Total_TQQQ_Weight_Worst
HOLD100,0.1,9,3,0.1,0.054929250474993196,-0.014706755136328575,-0.11100174926324147,-0.36883695406255246,0.010060568372885381,-0.09335840785351135,0.5555555555555556,0.6777703058010349
HOLD100,0.2,9,3,0.2,0.06492567074936284,-0.1034528898079694,-0.20440218554347533,-0.45079653659793173,0.020056988647255025,-0.18210454252515218,0.5555555555555556,0.8255589827815367
HOLD100,0.3,9,3,0.3,0.07485934664251803,-0.18762857729353133,-0.27977810788915414,-0.48668180389233495,0.029990664540410217,-0.2662802300107141,0.5555555555555556,0.8902669279963895
HOLD100,0.4,9,3,0.4,0.08473163005616491,-0.26727710278580596,-0.3418879562788816,-0.5068200192747019,0.03986294795405709,-0.34592875550298874,0.5555555555555556,0.9265799510260478
I25_N3_K2,0.1,9,3,0.025,0.03675922732691528,0.0034817503212294376,-0.010418613289281842,-0.04061412751539262,0.0004519515632759319,-0.005438152072837488,0.5555555555555556,0.10919473726559173
I25_N3_K2,0.2,9,3,0.05,0.03131632600435008,0.002672807233451868,-0.02083566363749767,-0.07481646643636952,0.0009037716847686283,-0.010881053395402684,0.5555555555555556,0.2010319973351729
I25_N3_K2,0.3,9,3,0.075,0.03391866322344317,0.0018594881791120788,-0.031230980995246016,-0.10398233456931183,0.0013554604976502294,-0.016328737401166027,0.5555555555555556,0.2793457472535264
I25_N3_K2,0.4,9,3,0.1,0.041142190729980266,0.0010417419464068267,-0.041604633303642724,-0.12914791007068582,0.0018070181348612824,-0.021781237967682943,0.5555555555555556,0.3469182459490154
I50_N3_K2,0.1,9,3,0.05,0.03131632600434986,0.002672807233451868,-0.02083566363749778,-0.07481646643636952,0.0009037716847686283,-0.010881053395402907,0.5555555555555556,0.20103199733517294
I50_N3_K2,0.2,9,3,0.1,0.041142190729980266,0.0010417419464068267,-0.041604633303642946,-0.12914791007068582,0.0018070181348615044,-0.021781237967682943,0.5555555555555556,0.3469182459490155
I50_N3_K2,0.3,9,3,0.15,0.04757842251499178,-0.0006072415524860375,-0.062287213123820906,-0.1703731232205027,0.0027097404128839653,-0.03270082656609308,0.5555555555555556,0.457612740562705
I50_N3_K2,0.4,9,3,0.2,0.04848062167987299,-0.0022745718852084096,-0.08288394099538421,-0.20272404779397424,0.0036119395777651775,-0.043640099429336554,0.5555555555555556,0.544478737663364
L25_50_PB5_N3_K2,0.1,9,3,0.025,0.03454359076647884,0.0030481508098707533,-0.023254551036390403,-0.07954727848993326,0.0004519515632759319,-0.007653788633273928,0.5555555555555556,0.2137347782153725
L25_50_PB5_N3_K2,0.2,9,3,0.05,0.04177390017660576,0.001799655640746911,-0.04622297559790478,-0.13600928143154245,0.0009037716847686283,-0.015317008370876461,0.5555555555555556,0.3653418264987804
L25_50_PB5_N3_K2,0.3,9,3,0.075,0.046224142599758045,0.0005406970446977244,-0.068891044851766,-0.17814172753988355,0.0013554604976502294,-0.02298975312780449,0.5555555555555556,0.47847234717923104
L25_50_PB5_N3_K2,0.4,9,3,0.1,0.0466757002369691,-0.0007289153485539046,-0.09126461209156778,-0.21078541328433364,0.0018070181348612824,-0.030672118588172204,0.5555555555555556,0.5661244420920755
