date,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after
2000-08-10,REVERSAL_ENTRY,0.35,61.092989,0.37649420532280137,0.00018824710266140068,0.6990152770682554,0.006162641761116016,61.123535494500004
2000-08-11,BULL_EXIT,0.0,63.610054,-0.39200597520724484,0.00019600298760362242,1.0909933458172234,0.0,
2001-12-13,REVERSAL_ENTRY,0.35,1.314787,0.4037900665536628,0.0002018950332768314,0.749693942852097,0.3071144349264655,1.3154443935
2002-02-05,BULL_EXIT,0.0,0.95029,-0.2918477763662709,0.00014592388818313544,1.0431279823154624,0.0,
2002-11-08,REVERSAL_ENTRY,0.35,0.194686,0.3697778281549673,0.00018488891407748365,0.6865453633737191,1.8993550032101296,0.194783343
2002-12-12,BULL_FULL,1.0,0.204519,0.6869514305260801,0.0003434757152630401,0.0,5.258218632144752,0.2010676423469953
2008-02-13,BULL_EXIT,0.0,0.446508,-2.347836685001689,0.0011739183425008447,2.3466627666591884,0.0,
2009-03-27,REVERSAL_ENTRY,0.35,0.080945,0.8303368088525799,0.0004151684044262899,1.5416389051789365,10.258037048027424,0.0809854725
2009-04-22,BULL_FULL,1.0,0.095538,1.5410375471666555,0.0007705187735833278,-2.220446049250313e-16,26.3881376066183,0.08991009818753533
2018-12-21,BULL_EXIT,0.0,3.910327911376953,-103.18627101241538,0.051593135506207685,103.13467787690917,0.0,
2020-06-05,REVERSAL_ENTRY,0.35,10.73206901550293,36.966646638767706,0.018483323319383852,68.63386043439209,3.44450325332122,10.737435050010683
2020-06-08,BULL_FULL,1.0,10.970850944519045,68.59995537374795,0.03429997768687398,0.0,9.697432558501506,10.891479231884725
2022-03-08,BULL_EXIT,0.0,20.119792938232425,-195.1103351095238,0.0975551675547619,195.01277994196903,0.0,
2022-08-24,REVERSAL_ENTRY,0.35,15.621133804321287,68.68530866789699,0.034342654333948494,127.52408772890333,4.396947720203031,15.628944371223449
2022-08-29,BULL_EXIT,0.0,13.997414588928224,-61.54590016552461,0.030772950082762304,189.08070525642887,0.0,
2023-01-27,REVERSAL_ENTRY,0.35,11.199405670166016,67.23935699687578,0.033619678498437895,124.83947188712804,6.003832611938867,11.205005373001098
2023-02-28,BULL_FULL,1.0,10.623353004455566,125.25764122233653,0.06262882061116827,0.0,17.794614784930946,10.823119749769244
