fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,DotCom_MDD,ActualEra_CAGR,Cycle22_Capture,TradeCount
60,100,0.35,100,30,-0.22,0.21186350027347656,-0.6775186261662075,-0.6775186261662075,0.3150575944632552,0.14078042310659877,23.0
60,100,0.35,100,30,-0.2,0.1975279528784155,-0.683515558501719,-0.683515558501719,0.29274504585977223,0.08936373318868028,23.0
60,100,0.35,100,30,-0.18,0.21363624805321768,-0.6775186261662075,-0.6775186261662075,0.3092136592748631,0.08936373318868009,23.0
60,100,0.35,100,40,-0.22,0.2742019856336797,-0.6391779758556682,-0.5917722791383595,0.4094380058382574,0.6646117732737838,22.0
60,100,0.35,100,40,-0.2,0.27136564899971427,-0.599363768812269,-0.599363768812269,0.40631522560362243,0.6646117732737843,22.0
60,100,0.35,100,40,-0.18,0.22625466833585772,-0.5917722791383595,-0.5917722791383595,0.3161899927423275,0.10629466502749074,23.0
60,100,0.35,100,50,-0.22,0.2730021929021855,-0.6391779758556685,-0.5917722791383595,0.4094380058382574,0.6646117732737838,22.0
60,100,0.35,100,50,-0.2,0.27653645457020937,-0.599363768812269,-0.599363768812269,0.4063152256036222,0.6646117732737841,22.0
60,100,0.35,100,50,-0.18,0.22107433783234876,-0.6022204485716107,-0.5917722791383595,0.3031397008677721,0.1062946650274907,23.0
60,100,0.35,110,30,-0.22,0.22279794319537194,-0.6391779758556686,-0.5857607633843239,0.3150575944632552,0.140780423106599,23.0
60,100,0.35,110,30,-0.2,0.20942132293901827,-0.5888431744422717,-0.5857607633843239,0.29274504585977246,0.0893637331886802,23.0
60,100,0.35,110,30,-0.18,0.2237619983047292,-0.5857607633843239,-0.5857607633843239,0.30921365927486333,0.08936373318867998,23.0
60,100,0.35,110,40,-0.22,0.2772277075120586,-0.6391779758556685,-0.5620201312486148,0.4094380058382574,0.664611773273784,20.0
60,100,0.35,110,40,-0.2,0.2755323988827503,-0.5888431744422717,-0.5620201312486148,0.4063152256036222,0.6646117732737841,20.0
60,100,0.35,110,40,-0.18,0.2259341887372741,-0.5804007047324975,-0.5620201312486148,0.3161899927423275,0.10629466502749088,21.0
60,100,0.35,110,50,-0.22,0.2726759259801166,-0.6391779758556683,-0.5922754895277558,0.4094380058382574,0.6646117732737843,22.0
60,100,0.35,110,50,-0.2,0.27735868835171185,-0.5922754895277558,-0.5922754895277558,0.4063152256036222,0.6646117732737841,22.0
60,100,0.35,110,50,-0.18,0.27942107650342307,-0.6022204485716112,-0.5922754895277558,0.4101091020170544,0.6646117732737841,22.0
60,100,0.35,120,30,-0.22,0.28453604102977126,-0.6391779758556686,-0.4883821674091744,0.4094380058382574,0.6646117732737842,21.0
60,100,0.35,120,30,-0.2,0.28331660019438365,-0.5810372490267552,-0.4883821674091744,0.4089734945002361,0.6646117732737837,21.0
60,100,0.35,120,30,-0.18,0.238754164732486,-0.5804007047324975,-0.4883821674091744,0.31867790360046344,0.10629466502749074,22.0
60,100,0.35,120,40,-0.22,0.285687795226913,-0.6391779758556684,-0.5067379947953817,0.4094380058382574,0.6646117732737842,21.0
60,100,0.35,120,40,-0.2,0.28522665395199276,-0.5810372490267552,-0.473853167221418,0.40897349450023635,0.6646117732737843,21.0
60,100,0.35,120,40,-0.18,0.227902700153932,-0.5897781629048043,-0.473853167221418,0.30560294358298434,0.10629466502749131,22.0
60,100,0.35,120,50,-0.22,0.2844771874197711,-0.6391779758556679,-0.5067379947953817,0.4094380058382576,0.6646117732737842,21.0
60,100,0.35,120,50,-0.2,0.28652922956983273,-0.5810372490267552,-0.5167952733593817,0.4089734945002361,0.6646117732737843,21.0
60,100,0.35,120,50,-0.18,0.29157034929814807,-0.5897781629048043,-0.47385316722141935,0.4127745422387623,0.6646117732737842,21.0
60,100,0.5,100,30,-0.22,0.20722943138228778,-0.7071251315877212,-0.7071251315877212,0.3136463440530781,0.1456419453811639,23.0
60,100,0.5,100,30,-0.2,0.1924271275373528,-0.7170301526226445,-0.7170301526226445,0.29135774009924487,0.09317677357821645,23.0
60,100,0.5,100,30,-0.18,0.21043792862987676,-0.7071251315877216,-0.7071251315877216,0.3078086802675255,0.09317677357821641,23.0
60,100,0.5,100,40,-0.22,0.2693295393710571,-0.6464915102980138,-0.6292510212040379,0.407925471351378,0.6801551905193645,22.0
60,100,0.5,100,40,-0.2,0.2659503147650628,-0.6417897427869388,-0.6417897427869388,0.40480604231969086,0.6801551905193647,22.0
60,100,0.5,100,40,-0.18,0.2230230953418968,-0.629251021204038,-0.629251021204038,0.31477752710207785,0.11045295858983907,23.0
60,100,0.5,100,50,-0.22,0.26813433455080204,-0.6464915102980135,-0.6292510212040379,0.40792547135137824,0.6801551905193643,22.0
60,100,0.5,100,50,-0.2,0.2710990954834247,-0.6417897427869388,-0.6417897427869388,0.40480604231969086,0.6801551905193647,22.0
60,100,0.5,100,50,-0.18,0.21785641666503297,-0.629251021204038,-0.629251021204038,0.30174124011205294,0.11045295858983899,23.0
60,100,0.5,110,30,-0.22,0.21785778363142216,-0.6464915102980133,-0.6273979248948713,0.3136463440530781,0.14564194538116393,23.0
60,100,0.5,110,30,-0.2,0.20453520553212368,-0.6273979248948713,-0.6273979248948713,0.2913577400992453,0.09317677357821663,23.0
60,100,0.5,110,30,-0.18,0.21881794391408693,-0.6273979248948713,-0.6273979248948713,0.3078086802675255,0.09317677357821641,23.0
60,100,0.5,110,40,-0.22,0.2732487960814567,-0.6464915102980134,-0.5959581227279858,0.40792547135137824,0.6801551905193647,20.0
60,100,0.5,110,40,-0.2,0.27155876879927554,-0.5971769495549546,-0.5959581227279858,0.40480604231969086,0.6801551905193643,20.0
60,100,0.5,110,40,-0.18,0.2221150705580779,-0.5959581227279858,-0.5959581227279858,0.31477752710207807,0.11045295858983917,21.0
60,100,0.5,110,50,-0.22,0.26717170026909653,-0.6464915102980133,-0.6361042709430471,0.407925471351378,0.6801551905193649,22.0
