strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,risk_floor,selection
BH_A25_F80_M110_W35_X110S50D18,80,110,0.35,110,50,-0.18,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,0.7446001167542323,0.7362844216366656,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,-0.65,best_CAGR
BH_A25_F60_M100_W100_X120S40D20,60,100,1.0,120,40,-0.2,0.2706975907115199,-0.6228450738253394,0.43461464509781117,681.9715406464663,1140,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.9277666407707252,-0.14723087963306436,-0.36866174447644795,-0.5897763939426199,261.87405762167936,-0.5897763939426199,0.4072212415818153,-0.5897763939426199,0.7463514302393461,0.7463514302393461,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962006,0.7319147958398969,2023-01-25,2023-01-25,1.0,1.0,0,-0.65,best_capture
BH_A25_F80_M110_W35_X110S50D18,80,110,0.35,110,50,-0.18,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,0.7446001167542323,0.7362844216366656,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,-0.62,best_CAGR
BH_A25_F60_M100_W100_X120S50D18,60,100,1.0,120,50,-0.18,0.278410201496863,-0.6051018129846975,0.46010472208567615,804.1644511332177,1134,-0.5309728570100127,-0.6051018129846975,-0.1738233132170799,-0.5643134086518344,0.9277666407707261,-0.14723087963306436,-0.3892027750212309,-0.6031233051245313,273.6823145750003,-0.6031233051245313,0.4110175621930967,-0.6031233051245313,0.7467892586106246,0.7467892586106246,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962004,0.7319147958398967,2023-01-25,2023-01-25,1.0,1.0,0,-0.62,best_capture
BH_A25_F80_M110_W35_X110S50D18,80,110,0.35,110,50,-0.18,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,0.7446001167542323,0.7362844216366656,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,-0.6,best_CAGR
BH_A25_F60_M110_W80_X120S40D20,60,110,0.8,120,40,-0.2,0.2786570716203942,-0.5810372490267552,0.47958555512086076,808.4047670696513,1078,-0.4721578801154007,-0.5555824448795449,-0.2503865895735764,-0.5645312519475086,0.9202494252485367,-0.14723087963306447,-0.3479882687441658,-0.57634342407197,269.42336696718405,-0.5810372490267552,0.4096663034593133,-0.5810372490267552,0.7463514302393461,0.742951686768196,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.45127683381654,0.7274281712099854,2023-01-25,2023-01-25,1.0,1.0,0,-0.6,best_capture
BH_A25_F80_M110_W35_X110S30D18,80,110,0.35,110,30,-0.18,0.2556434895545978,-0.5637273396039277,0.4534878328487878,492.93877892835366,732,-0.22223753493752263,-0.3825580141011322,-0.1848018101972123,-0.5236193833854154,1.1938242172670077,-0.14723087963306436,-0.2060349576096746,-0.49034666595960474,101.90572526181865,-0.5637273396039277,0.32858403483424037,-0.5637273396039277,0.699357851722125,0.691042156604558,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9318729758387407,0.09097375788508681,2023-02-03,2023-02-28,0.0,1.0,1,-0.58,best_CAGR
BH_A25_F60_M110_W50_X110S30D18,60,110,0.5,110,30,-0.18,0.2306119182359363,-0.5567780366106212,0.41419004176203367,284.8404899461279,1077,-0.44549455968530316,-0.5331332176759107,-0.1879346325256016,-0.5236193833854152,0.9089453559149454,-0.14723087963306436,-0.2576104740576979,-0.5176187950487359,82.72625442912214,-0.5567780366106212,0.3118879008183799,-0.5567780366106212,0.7040280210157618,0.6939791232279023,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.05627513312429,0.10311847291675923,2023-01-25,2023-02-28,0.0,1.0,1,-0.58,best_capture
