strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A25_F60_M100_W35_X120S30D20,60,100,0.35,120,30,-0.2,0.28331660019438365,-0.5810372490267552,0.4876048836265533,892.5969953860008,1043,-0.39230540150899607,-0.4883821674091744,-0.275289398332765,-0.5645312519475085,0.9032933212481491,-0.14723087963306447,-0.3474327357754974,-0.57598245634081,267.26386020092247,-0.5810372490267552,0.4089734945002361,-0.5810372490267552,0.7457676590776415,0.737186148421185,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742632,0.6646117732737837,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X120S30D22,60,100,0.35,120,30,-0.22,0.28453604102977126,-0.6391779758556686,0.44515933242046146,915.9885985856274,1043,-0.39230540150899607,-0.4883821674091744,-0.2602849637746024,-0.5643134086518345,0.9032933212481506,-0.14723087963306436,-0.44469127589430957,-0.6391779758556686,268.70996014664973,-0.6391779758556686,0.4094380058382574,-0.6391779758556686,0.7514594279042616,0.742475832296609,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X120S40D18,60,100,0.35,120,40,-0.18,0.227902700153932,-0.5897781629048043,0.3864210553870873,268.24508833548117,862,-0.3671833806685416,-0.473853167221418,-0.27528939833276467,-0.5645312519475085,0.9032933212481495,-0.14723087963306436,-0.3686644669270409,-0.5897781629048043,76.41872727526578,-0.5897781629048043,0.30560294358298434,-0.5897781629048043,0.7043199065966141,0.6953368072795233,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.088809873502962,0.10629466502749131,2023-01-25,2023-02-16,0.0,1.0000000000000002,1
BH_A25_F60_M100_W35_X120S40D20,60,100,0.35,120,40,-0.2,0.28522665395199276,-0.5810372490267552,0.4908922008524428,929.4968466861397,874,-0.3671833806685416,-0.473853167221418,-0.27528939833276467,-0.5645312519475085,0.9032933212481498,-0.14723087963306425,-0.34743273577549694,-0.5759824563408098,267.2638602009231,-0.5810372490267552,0.40897349450023635,-0.5810372490267552,0.7463514302393461,0.7373683309222554,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X120S40D22,60,100,0.35,120,40,-0.22,0.285687795226913,-0.6391779758556684,0.44696126277577447,938.6233033317809,1014,-0.37728885235771337,-0.5067379947953817,-0.26028496377460153,-0.5643134086518344,0.9032933212481493,-0.14723087963306425,-0.4446912758943091,-0.6391779758556684,268.7099601466497,-0.6391779758556684,0.4094380058382574,-0.6391779758556684,0.7548161120840631,0.7436161813599926,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X120S50D18,60,100,0.35,120,50,-0.18,0.29157034929814807,-0.5897781629048043,0.4943729144905798,1062.8924332920533,862,-0.35745136273817946,-0.47385316722141935,-0.21892109436106488,-0.5643134086518345,0.9032933212481504,-0.14723087963306436,-0.3686644669270409,-0.5897781629048043,279.3142261487909,-0.5897781629048043,0.4127745422387623,-0.5897781629048043,0.7467892586106246,0.7375145618836624,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X120S50D20,60,100,0.35,120,50,-0.2,0.28652922956983273,-0.5810372490267552,0.49313401171744636,955.4990755184687,1035,-0.3899855113557007,-0.5167952733593817,-0.2271687209537837,-0.5643134086518344,0.9032933212481489,-0.14723087963306425,-0.3474327357754975,-0.57598245634081,267.26386020092224,-0.5810372490267552,0.4089734945002361,-0.5810372490267552,0.75,0.7393040453003609,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X120S50D22,60,100,0.35,120,50,-0.22,0.2844771874197711,-0.6391779758556679,0.445067255389927,914.8462192383433,1014,-0.37728885235771337,-0.5067379947953817,-0.2790233293778005,-0.5730360211176697,0.9032933212481495,-0.14723087963306436,-0.44469127589430857,-0.6391779758556679,268.70996014665036,-0.6391779758556679,0.4094380058382576,-0.6391779758556679,0.7572971395213076,0.7460972087972373,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W50_X100S30D18,60,100,0.5,100,30,-0.18,0.21043792862987676,-0.7071251315877216,0.29759644966567156,181.58523990130467,1220,-0.6131640825078628,-0.7071251315877216,-0.21925736380362815,-0.5370751009365847,0.9089453559149445,-0.14723087963306436,-0.29437693436019985,-0.5415084766818414,78.57975464406887,-0.5567780366106212,0.3078086802675255,-0.5567780366106212,0.7113251605370695,0.7033714547872895,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9544391623688089,0.09317677357821641,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W50_X100S30D20,60,100,0.5,100,30,-0.2,0.1924271275373528,-0.7170301526226445,0.26836685575009916,120.71221528146881,1270,-0.6639120071154674,-0.7170301526226445,-0.26562584569257053,-0.5645312519475085,0.9089453559149452,-0.14723087963306447,-0.38005127399451133,-0.5971769495549555,63.73476546003897,-0.5971769495549555,0.29135774009924487,-0.5971769495549555,0.713806187974314,0.7057016410642757,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9544391623688093,0.09317677357821645,2023-01-25,2023-02-16,0.0,1.0,1
