strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,blend
BH_A25_F80_M120_W35_X120S30D20,80,120,0.35,120,30,-0.2,0.2951003669285077,-0.5960664019195394,0.49507968571652883,1144.9186016585536,996,-0.2850818522762304,-0.4271403992714783,-0.30850909589103004,-0.5645312519475086,1.1938242172670068,-0.14723087963306425,-0.35307256451363467,-0.549960507345778,305.5409916091676,-0.5960664019195394,0.42054329060032325,-0.5960664019195394,0.7441622883829538,0.7328058250908517,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153324,0.6153667301204374,2023-02-03,2023-03-20,1.0,1.0,0,1.1656599338777658
BH_A25_F80_M120_W50_X110S40D22,80,120,0.5,110,40,-0.22,0.29733291069461143,-0.5977786612017836,0.4973963274246837,1199.9078834398927,997,-0.3095128681391772,-0.45641454813219307,-0.2660431213838603,-0.5643134086518344,1.1738193613605623,-0.14723087963306436,-0.43506524342015374,-0.5977786612017836,312.3852212800963,-0.5977786612017836,0.4224678637591328,-0.5977786612017836,0.7498540572095739,0.7407653178641073,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.267449846009734,0.6118574952070311,2023-02-03,2023-03-20,1.0,1.0,0,1.1653462789234106
BH_A25_F80_M110_W65_X100S40D22,80,110,0.65,100,40,-0.22,0.29861837369390254,-0.619201423427967,0.4822637067607475,1232.71484240802,1003,-0.35189074471719095,-0.49856543983273316,-0.2184274374947882,-0.5643134086518344,1.153814505454116,-0.14723087963306436,-0.41394716079500493,-0.619201423427967,321.1082412584012,-0.619201423427967,0.4248643492466462,-0.619201423427967,0.75,0.7454673171444305,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.539117688242181,0.6383789687825192,2023-02-03,2023-02-28,1.0,1.0,0,1.1652999607737335
BH_A25_F80_M110_W65_X110S50D22,80,110,0.65,110,50,-0.22,0.2979809589219795,-0.6192014234279671,0.4812342925058605,1216.3405029483222,1003,-0.34387890418798894,-0.49236677240259796,-0.23822613253873792,-0.5730360211176696,1.1538145054541138,-0.14723087963306425,-0.41394716079500493,-0.6192014234279671,321.1082412584012,-0.6192014234279671,0.4248643492466462,-0.6192014234279671,0.7523350846468184,0.7478631639326733,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.53911768824218,0.6383789687825191,2023-02-03,2023-02-28,1.0,1.0,0,1.164946157329953
BH_A25_F60_M110_W80_X120S50D18,60,110,0.8,120,50,-0.18,0.28595588489048396,-0.5901273862990315,0.4845663691086239,943.9686858203373,854,-0.45270749545823397,-0.5399444101775959,-0.1920813343682981,-0.5643134086518344,0.9202494252485356,-0.14723087963306436,-0.3692019252430516,-0.5901273862990315,281.5707375834445,-0.5901273862990315,0.4134692202180428,-0.5901273862990315,0.7467892586106246,0.7432969674171782,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.451276833816536,0.727428171209985,2023-01-25,2023-01-25,1.0,1.0,0,1.1648492476622707
BH_A25_F70_M120_W35_X110S50D20,70,120,0.35,110,50,-0.2,0.29806489098320665,-0.6096649471114475,0.4888995052043234,1218.4845664935615,893,-0.1656934757091174,-0.3746760421278278,-0.21424987190074185,-0.5643134086518345,0.77157788554687,-0.14723087963306436,-0.3570528736410671,-0.5499605073457781,245.0178802255759,-0.6096649471114475,0.4015149168625023,-0.6096649471114475,0.7447460595446584,0.7319884478586625,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.53588764289186,0.6380636367884849,2023-01-27,2023-03-20,1.0,1.0000000000000002,0,1.1648243296221206
BH_A25_F60_M110_W50_X110S40D20,60,110,0.5,110,40,-0.2,0.283863093282537,-0.5810372490267552,0.48854543105112674,903.00790790454,1045,-0.398705927767361,-0.49373945082579884,-0.2608682251086355,-0.5643134086518344,0.9089453559149452,-0.14723087963306447,-0.3477488715729,-0.5761878713709934,267.93015246103874,-0.5810372490267552,0.40918780990103354,-0.5810372490267552,0.7472270869819031,0.7383038183564695,19,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.382167273541429,0.7206813757056368,2023-01-25,2023-02-28,1.0,1.0000000000000002,0,1.1647750719279197
BH_A25_F70_M120_W35_X100S50D22,70,120,0.35,100,50,-0.22,0.29302757223522735,-0.5893611040899174,0.4971953021699933,1096.0431616086335,852,-0.17057558694618424,-0.378335250143886,-0.3143069091728097,-0.573269836643215,0.7715778855468685,-0.14723087963306447,-0.43576399774971175,-0.5893611040899174,254.08082263085473,-0.5893611040899174,0.40462703781607146,-0.5893611040899174,0.7517513134851138,0.7388885853713651,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.535887642891862,0.6380636367884851,2023-01-27,2023-03-20,1.0,1.0,0,1.1643704656529323
BH_A25_F80_M110_W65_X100S40D20,80,110,0.65,100,40,-0.2,0.29689467249156176,-0.6034331119428611,0.49200924943554414,1188.9168669128383,1003,-0.35189074471719095,-0.49856543983273316,-0.2184274374947882,-0.5643134086518344,1.1538145054541138,-0.14723087963306436,-0.3321925801285516,-0.5660798858064435,309.66383548660633,-0.6034331119428611,0.4217073900838928,-0.6034331119428611,0.7450379451255108,0.7405052622699413,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.53911768824218,0.6383789687825191,2023-02-03,2023-02-28,1.0,1.0,0,1.1642980969408752
BH_A25_F70_M120_W35_X120S40D20,70,120,0.35,120,40,-0.2,0.29571840718272235,-0.6096649471114477,0.4850506964256624,1159.893490860183,893,-0.14336648208362268,-0.3787900771781132,-0.31075571143849634,-0.5710598053485318,0.7715778855468713,-0.14723087963306436,-0.3204597288313079,-0.5499605073457781,259.0199148374526,-0.6096649471114477,0.4062796401302897,-0.6096649471114477,0.7434325744308231,0.7310923821917212,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.535887642891861,0.638063636788485,2023-01-27,2023-03-20,1.0,1.0,0,1.1638529810321978
